ID_Venta,Fecha_Venta,Producto,Precio_Unitario,Cantidad,ID_Cliente,Tipo_Pago,ID_Empleado
1,2022-01-01 00:00:00.000000000,Cámara,59.66,2,103.0,Efectivo,E002
2,2022-01-01 00:14:24.288096032,Smartwatch,839.51,4,,Transferencia,E002
3,2022-01-01 00:28:48.576192064,Teléfono,851.49,3,103.0,Efectivo,E001
4,2022-01-01 00:43:12.864288096,Portátil,408.8,3,,nan,E002
5,2022-01-01 00:57:37.152384128,Portátil,941.33,1,103.0,nan,E001
6,2022-01-01 01:12:01.440480160,Portátil,835.46,1,102.0,nan,E003
7,2022-01-01 01:26:25.728576192,Auriculares,351.51,3,,nan,E001
8,2022-01-01 01:40:50.016672224,Portátil,618.28,2,101.0,nan,E002
9,2022-01-01 01:55:14.304768256,Smartwatch,433.92,2,101.0,Tarjeta Crédito,E003
10,2022-01-01 02:09:38.592864288,Tablet,161.02,4,103.0,nan,E001
11,2022-01-01 02:24:02.880960320,Cámara,441.86,4,,nan,E002
12,2022-01-01 02:38:27.169056352,nan,851.48,1,101.0,nan,E002
13,2022-01-01 02:52:51.457152384,Teléfono,546.95,1,101.0,nan,E001
14,2022-01-01 03:07:15.745248416,Teléfono,627.98,3,102.0,Efectivo,E001
15,2022-01-01 03:21:40.033344448,Cámara,391.88,4,102.0,Tarjeta Crédito,E002
16,2022-01-01 03:36:04.321440480,Tablet,217.01,1,,Transferencia,E003
17,2022-01-01 03:50:28.609536512,Auriculares,591.54,3,101.0,Efectivo,E003
18,2022-01-01 04:04:52.897632544,nan,574.19,2,102.0,Transferencia,E002
19,2022-01-01 04:19:17.185728576,nan,958.32,4,103.0,Transferencia,E003
20,2022-01-01 04:33:41.473824608,Teléfono,58.89,1,,nan,nan
21,2022-01-01 04:48:05.761920640,Auriculares,903.25,4,,nan,nan
22,2022-01-01 05:02:30.050016672,Smartwatch,929.55,4,102.0,nan,E001
23,2022-01-01 05:16:54.338112704,Auriculares,278.59,3,103.0,Efectivo,E003
24,2022-01-01 05:31:18.626208736,Smartwatch,93.39,1,,nan,nan
25,2022-01-01 05:45:42.914304768,Teléfono,856.42,4,103.0,Transferencia,E002
26,2022-01-01 06:00:07.202400800,Auriculares,210.53,4,,Efectivo,E001
27,2022-01-01 06:14:31.490496832,Cámara,427.04,1,102.0,nan,E001
28,2022-01-01 06:28:55.778592864,Portátil,480.54,4,,Tarjeta Crédito,E001
29,2022-01-01 06:43:20.066688896,Teléfono,358.75,3,,Transferencia,E001
30,2022-01-01 06:57:44.354784928,Portátil,455.2,4,102.0,Transferencia,E003
31,2022-01-01 07:12:08.642880960,Smartwatch,345.68,1,,nan,nan
32,2022-01-01 07:26:32.930976992,nan,548.96,3,,nan,nan
33,2022-01-01 07:40:57.219073024,Teléfono,88.02,4,102.0,nan,E001
34,2022-01-01 07:55:21.507169056,Tablet,611.42,1,,nan,E001
35,2022-01-01 08:09:45.795265088,Portátil,195.24,1,,nan,E002
36,2022-01-01 08:24:10.083361120,Teléfono,977.58,1,103.0,nan,E003
37,2022-01-01 08:38:34.371457152,Auriculares,663.33,4,,nan,nan
38,2022-01-01 08:52:58.659553184,Portátil,57.52,3,,Tarjeta Crédito,E002
39,2022-01-01 09:07:22.947649216,Smartwatch,87.12,4,101.0,nan,E003
40,2022-01-01 09:21:47.235745248,Portátil,306.24,1,,nan,nan
41,2022-01-01 09:36:11.523841280,Portátil,775.74,2,102.0,Tarjeta Crédito,E001
42,2022-01-01 09:50:35.811937312,nan,137.65,3,102.0,nan,E001
43,2022-01-01 10:05:00.100033344,Teléfono,678.96,2,,Transferencia,E003
44,2022-01-01 10:19:24.388129376,Auriculares,574.0,2,101.0,nan,E002
45,2022-01-01 10:33:48.676225408,Auriculares,464.71,3,,Efectivo,E001
46,2022-01-01 10:48:12.964321440,Auriculares,218.47,3,101.0,Transferencia,E001
47,2022-01-01 11:02:37.252417472,Teléfono,81.08,4,102.0,Tarjeta Crédito,E003
48,2022-01-01 11:17:01.540513504,Tablet,536.75,2,103.0,Transferencia,E001
49,2022-01-01 11:31:25.828609536,Cámara,538.88,4,,Transferencia,E002
50,2022-01-01 11:45:50.116705568,Portátil,64.16,4,103.0,Tarjeta Crédito,E001
51,2022-01-01 12:00:14.404801600,nan,660.45,4,103.0,Efectivo,E003
52,2022-01-01 12:14:38.692897632,Portátil,393.3,3,102.0,Efectivo,E001
53,2022-01-01 12:29:02.980993664,Tablet,507.24,2,102.0,Transferencia,E003
54,2022-01-01 12:43:27.269089696,Cámara,486.13,1,102.0,Tarjeta Crédito,E001
55,2022-01-01 12:57:51.557185728,Tablet,712.71,3,102.0,nan,E001
56,2022-01-01 13:12:15.845281760,Teléfono,530.93,3,101.0,nan,E002
57,2022-01-01 13:26:40.133377792,Teléfono,401.55,2,103.0,nan,E003
58,2022-01-01 13:41:04.421473824,Cámara,236.67,2,,Transferencia,E003
59,2022-01-01 13:55:28.709569856,Smartwatch,78.39,2,101.0,Efectivo,E001
60,2022-01-01 14:09:52.997665888,Smartwatch,264.87,2,,Tarjeta Crédito,E001
61,2022-01-01 14:24:17.285761920,nan,640.72,2,102.0,Transferencia,E001
62,2022-01-01 14:38:41.573857952,Teléfono,295.23,1,,Efectivo,E003
63,2022-01-01 14:53:05.861953984,Cámara,694.76,4,,nan,nan
64,2022-01-01 15:07:30.150050016,Auriculares,940.71,4,101.0,nan,E001
65,2022-01-01 15:21:54.438146048,Cámara,293.74,3,,Transferencia,E002
66,2022-01-01 15:36:18.726242080,Auriculares,785.14,4,,Transferencia,E003
67,2022-01-01 15:50:43.014338112,Tablet,673.35,4,101.0,Efectivo,E001
68,2022-01-01 16:05:07.302434144,Tablet,429.61,4,103.0,Transferencia,E003
69,2022-01-01 16:19:31.590530176,Teléfono,721.01,1,102.0,Tarjeta Crédito,E001
70,2022-01-01 16:33:55.878626208,Auriculares,315.69,1,102.0,Efectivo,E003
71,2022-01-01 16:48:20.166722240,Auriculares,334.41,4,103.0,Transferencia,E003
72,2022-01-01 17:02:44.454818272,Auriculares,430.47,2,103.0,Transferencia,E001
73,2022-01-01 17:17:08.742914304,Auriculares,452.52,4,103.0,Efectivo,E003
74,2022-01-01 17:31:33.031010336,Portátil,574.67,2,,nan,E003
75,2022-01-01 17:45:57.319106368,nan,414.21,3,103.0,Efectivo,E002
76,2022-01-01 18:00:21.607202400,Portátil,862.71,2,102.0,Transferencia,E003
77,2022-01-01 18:14:45.895298432,nan,651.29,1,103.0,nan,E002
78,2022-01-01 18:29:10.183394464,Tablet,918.21,3,102.0,Transferencia,E001
79,2022-01-01 18:43:34.471490496,Portátil,397.96,1,103.0,Transferencia,E001
80,2022-01-01 18:57:58.759586528,Teléfono,985.43,1,102.0,Efectivo,E001
81,2022-01-01 19:12:23.047682560,nan,725.74,1,101.0,Transferencia,E003
82,2022-01-01 19:26:47.335778592,Portátil,779.83,4,101.0,Efectivo,E003
83,2022-01-01 19:41:11.623874624,Smartwatch,599.18,1,,Efectivo,E003
84,2022-01-01 19:55:35.911970656,Cámara,885.23,1,103.0,nan,E001
85,2022-01-01 20:10:00.200066688,Auriculares,143.03,1,103.0,Efectivo,E002
86,2022-01-01 20:24:24.488162720,Tablet,790.83,4,102.0,Transferencia,E002
87,2022-01-01 20:38:48.776258752,Cámara,669.49,4,102.0,Tarjeta Crédito,E002
88,2022-01-01 20:53:13.064354784,Portátil,848.94,1,101.0,Efectivo,E001
89,2022-01-01 21:07:37.352450816,Cámara,885.25,1,102.0,Tarjeta Crédito,E002
90,2022-01-01 21:22:01.640546848,nan,491.63,3,103.0,Transferencia,E002
91,2022-01-01 21:36:25.928642880,Cámara,964.29,1,102.0,nan,E002
92,2022-01-01 21:50:50.216738912,Cámara,823.28,2,101.0,Tarjeta Crédito,E001
93,2022-01-01 22:05:14.504834944,Portátil,875.63,4,,Efectivo,E003
94,2022-01-01 22:19:38.792930976,Cámara,62.23,3,,Efectivo,E002
95,2022-01-01 22:34:03.081027009,Cámara,950.14,2,101.0,nan,E002
96,2022-01-01 22:48:27.369123041,Cámara,291.92,1,101.0,Transferencia,E003
97,2022-01-01 23:02:51.657219073,Teléfono,648.72,3,102.0,nan,E003
98,2022-01-01 23:17:15.945315105,nan,483.77,3,,Transferencia,E001
99,2022-01-01 23:31:40.233411137,Cámara,631.2,4,,Tarjeta Crédito,E003
100,2022-01-01 23:46:04.521507169,Portátil,601.97,2,101.0,Tarjeta Crédito,E001
101,2022-01-02 00:00:28.809603201,Tablet,782.72,3,103.0,nan,E002
102,2022-01-02 00:14:53.097699233,Smartwatch,573.97,4,103.0,Tarjeta Crédito,E002
103,2022-01-02 00:29:17.385795265,Smartwatch,581.94,2,,nan,nan
104,2022-01-02 00:43:41.673891297,Smartwatch,612.19,4,102.0,Tarjeta Crédito,E001
105,2022-01-02 00:58:05.961987329,Teléfono,257.49,4,103.0,Efectivo,E002
106,2022-01-02 01:12:30.250083361,Auriculares,699.31,3,101.0,nan,E003
107,2022-01-02 01:26:54.538179393,Smartwatch,983.91,4,102.0,Transferencia,E002
108,2022-01-02 01:41:18.826275425,Auriculares,929.81,3,,nan,nan
109,2022-01-02 01:55:43.114371457,Portátil,273.22,1,,Tarjeta Crédito,E002
110,2022-01-02 02:10:07.402467489,Teléfono,978.76,1,101.0,Efectivo,E003
111,2022-01-02 02:24:31.690563521,Smartwatch,838.64,1,102.0,nan,E003
112,2022-01-02 02:38:55.978659553,nan,968.32,1,102.0,nan,E001
113,2022-01-02 02:53:20.266755585,Teléfono,975.97,2,102.0,nan,E003
114,2022-01-02 03:07:44.554851617,Auriculares,492.44,3,102.0,Tarjeta Crédito,E002
115,2022-01-02 03:22:08.842947649,Tablet,645.34,3,103.0,Transferencia,E001
116,2022-01-02 03:36:33.131043681,Cámara,302.98,1,,nan,E003
117,2022-01-02 03:50:57.419139713,Tablet,248.21,4,,Transferencia,E001
118,2022-01-02 04:05:21.707235745,Teléfono,475.99,3,101.0,Efectivo,E003
119,2022-01-02 04:19:45.995331777,Smartwatch,288.09,1,102.0,Transferencia,E001
120,2022-01-02 04:34:10.283427809,Portátil,859.98,4,102.0,Efectivo,E003
121,2022-01-02 04:48:34.571523841,Tablet,105.54,1,101.0,Efectivo,E001
122,2022-01-02 05:02:58.859619873,Tablet,324.7,3,101.0,Transferencia,E001
123,2022-01-02 05:17:23.147715905,Smartwatch,218.77,1,102.0,Efectivo,E003
124,2022-01-02 05:31:47.435811937,Teléfono,143.65,4,,Transferencia,E001
125,2022-01-02 05:46:11.723907969,Smartwatch,534.31,2,103.0,Transferencia,E003
126,2022-01-02 06:00:36.012004001,Auriculares,862.06,1,,Efectivo,E001
127,2022-01-02 06:15:00.300100033,Teléfono,463.93,1,102.0,Efectivo,E003
128,2022-01-02 06:29:24.588196065,Tablet,302.04,2,,Tarjeta Crédito,E001
129,2022-01-02 06:43:48.876292097,Tablet,888.05,4,103.0,Transferencia,E003
130,2022-01-02 06:58:13.164388129,Portátil,925.07,1,103.0,Efectivo,E003
131,2022-01-02 07:12:37.452484161,Tablet,530.51,1,102.0,Efectivo,E002
132,2022-01-02 07:27:01.740580193,Portátil,675.22,4,,Transferencia,E002
133,2022-01-02 07:41:26.028676225,Tablet,108.42,1,102.0,Transferencia,E001
134,2022-01-02 07:55:50.316772257,Auriculares,374.34,4,,Tarjeta Crédito,E001
135,2022-01-02 08:10:14.604868289,Tablet,420.15,2,103.0,Tarjeta Crédito,E002
136,2022-01-02 08:24:38.892964321,nan,530.2,4,,Transferencia,E003
137,2022-01-02 08:39:03.181060353,Portátil,856.22,1,,nan,nan
138,2022-01-02 08:53:27.469156385,nan,819.09,4,101.0,Tarjeta Crédito,E003
139,2022-01-02 09:07:51.757252417,Portátil,59.29,1,102.0,nan,E003
140,2022-01-02 09:22:16.045348449,Portátil,197.6,3,102.0,Tarjeta Crédito,E001
141,2022-01-02 09:36:40.333444481,Tablet,408.3,2,102.0,Transferencia,E001
142,2022-01-02 09:51:04.621540513,nan,536.42,2,102.0,Transferencia,E003
143,2022-01-02 10:05:28.909636545,Portátil,626.64,4,101.0,nan,E003
144,2022-01-02 10:19:53.197732577,Cámara,187.18,2,103.0,Efectivo,E001
145,2022-01-02 10:34:17.485828609,Auriculares,711.48,1,101.0,Transferencia,E001
146,2022-01-02 10:48:41.773924641,Tablet,896.24,2,101.0,Tarjeta Crédito,E003
147,2022-01-02 11:03:06.062020673,Portátil,262.53,2,,nan,nan
148,2022-01-02 11:17:30.350116705,nan,562.89,1,102.0,Efectivo,E003
149,2022-01-02 11:31:54.638212737,Auriculares,990.28,3,,Transferencia,E001
150,2022-01-02 11:46:18.926308769,Tablet,661.92,4,102.0,Transferencia,E003
151,2022-01-02 12:00:43.214404801,Auriculares,138.59,2,101.0,nan,E001
152,2022-01-02 12:15:07.502500833,Cámara,784.69,2,102.0,Tarjeta Crédito,E002
153,2022-01-02 12:29:31.790596865,Tablet,532.48,2,,nan,nan
154,2022-01-02 12:43:56.078692897,nan,156.41,2,101.0,nan,E003
155,2022-01-02 12:58:20.366788929,Portátil,539.4,1,,nan,nan
156,2022-01-02 13:12:44.654884961,Teléfono,767.48,2,103.0,Tarjeta Crédito,E001
157,2022-01-02 13:27:08.942980993,Portátil,161.28,1,101.0,Efectivo,E002
158,2022-01-02 13:41:33.231077025,Tablet,388.44,4,102.0,Tarjeta Crédito,E001
159,2022-01-02 13:55:57.519173057,Portátil,128.28,1,,nan,E002
160,2022-01-02 14:10:21.807269089,Teléfono,193.92,4,103.0,Tarjeta Crédito,E003
161,2022-01-02 14:24:46.095365121,Teléfono,99.87,3,102.0,Tarjeta Crédito,E003
162,2022-01-02 14:39:10.383461153,nan,264.84,2,101.0,nan,E001
163,2022-01-02 14:53:34.671557185,Teléfono,481.52,2,103.0,Efectivo,E001
164,2022-01-02 15:07:58.959653217,nan,801.85,2,102.0,nan,E002
165,2022-01-02 15:22:23.247749249,Portátil,701.99,3,101.0,nan,E001
166,2022-01-02 15:36:47.535845281,nan,608.16,2,102.0,Tarjeta Crédito,E003
167,2022-01-02 15:51:11.823941313,Tablet,987.26,4,102.0,nan,E003
168,2022-01-02 16:05:36.112037345,Portátil,490.51,1,101.0,Efectivo,E001
169,2022-01-02 16:20:00.400133377,Teléfono,919.39,2,103.0,nan,E003
170,2022-01-02 16:34:24.688229409,Cámara,369.81,3,103.0,Tarjeta Crédito,E003
171,2022-01-02 16:48:48.976325441,Teléfono,455.16,2,,nan,E003
